salary_id,ids_num,year,author,level,title
,,2010,胡凌燕,三大检索期刊源,线性二次最优算法的倒立摆系统仿真与实时控制
,,2010,曾明如,,The Development of Intelligent Pressure Transmitter based on HART Protocol
,EI,2010,曾明如,,State Feedback Control of Networked Control System with Random Delay
,,2010,彭杰,,PROFINET工业以太网技术分析
,,2010,彭杰,,VLAN技术对工业Ethernet实时性影响分析
,,2010,陈恳,,大型工矿企业总降接地网设计机辅分析
,,2010,王时胜,三大检索期刊源,基于模糊产生式规则的企业供电网谐振故障诊断研究与仿真
,,2010,黄玉水,,运用于交流电机矢量控制的遗传算法参数辨识?
,,2010,徐敏,,ＭＡＴＬＡＢ在＜电力系统分析＞教学中的应用
,EI,2010,张忠会,"三大检索期刊源,",基于GPRS的一种新型电力系统在线检测系统的设计
,,2010,万汉伟,CSCD核心库,神经网络预测控制在分段台车式电阻炉温度控制中的应用
,,2010,龙伟,三大检索期刊源,LNG气化储配站自控系统
,,2010,武和雷,,基于C8051F340的直流电压与纹波测量系统
,,2010,刘爱国,,基于神经网络模型的电压稳定裕度评估
,,2010,王振,省级及省级以上刊物,基于ANSOFT的永磁同步电机有限元分析
,,2010,刘建国,,凸极与轴向叠片（ALA）磁阻式无刷双馈电机电磁场对比分析
,,2010,黄劭刚,,双馈电机数学模型及运行性能比对分析
,,2010,曾群,,The  Design of Individual Knowledge Sharing Platform Based on Blog for online information literacy Education
,,2010,曾群,,Comparative Study on Cooperation Status and Cases of Information Literacy Education Between Chinese and Foreign University
,,2010,屈文建,,Regional Higher Education Resource Allocation Pareto Equilibrium analysis
,,2010,屈文建,,An analysis for IT Adotion Behavior and Satisfaction in University
,,2010,刘春年,,A Study on Key Technologies of Digital Library Information Service and their Application Prospect in China
,,2010,刘春年,,Models of Agriculture Risk Management with Agriculture Ontology
,,2010,刘春年,,
,,2010,刘春年,,
,,2010,施文,,Research on Chinese Comprehensive university Electronic Commerce Specialty Construction
,,2010,曾伟忠,省级及省级以上刊物,基于在线学习效率提高导向的网络信息资源整合研究
,,2010,江耘,,网络商业信用的价值：基于淘宝网交易评价的实证分析
